Date,goog_close,goog_high,goog_low,goog_open,msft_close,msft_high,msft_low,msft_open,nvda_close,nvda_high,nvda_low,nvda_open,meta_close,meta_high,meta_low,meta_open
20-03-2025,156.61,159.48,158.25,157.45,380.43,389.61,377.82,382.34,112.65,123.03,115.28,116.67,477.72,477.6,446.16,447.77
21-03-2025,150.19,152.21,154.59,153.72,373.27,389.52,372.59,379.81,109.21,126.18,114.88,116.15,446.3,433.36,412.11,410.64
24-03-2025,146.7,147.59,152.18,151.29,366.65,389.47,368.76,377.68,106.29,129.56,114.53,115.74,429.53,417.97,399.87,402.27
25-03-2025,144.57,144.57,150.63,149.6,360.1,389.43,365.59,375.79,103.94,133.02,114.21,115.44,416.56,407.86,391.6,398.25
26-03-2025,143.13,142.41,149.59,148.35,354.23,389.41,362.83,374.1,102.04,136.34,113.93,115.23,406.06,400.16,385.53,395.31
27-03-2025,142.08,140.73,148.86,147.36,348.45,389.39,360.33,372.57,100.41,139.33,113.68,115.1,397.53,394.32,380.84,392.89
28-03-2025,141.28,139.35,148.33,146.54,342.59,389.38,358.02,371.16,98.97,141.88,113.47,115.03,390.62,389.88,377.12,390.87
31-03-2025,140.64,138.17,147.94,145.82,336.73,389.37,355.81,369.85,97.71,143.96,113.28,114.98,384.99,386.47,374.13,389.21
01-04-2025,140.11,137.12,147.63,145.18,330.48,389.36,353.66,368.62,96.63,145.59,113.12,114.96,380.45,383.81,371.7,387.88
02-04-2025,139.68,136.17,147.38,144.62,324.42,389.36,351.53,367.46,95.69,146.82,112.98,114.96,376.8,381.69,369.71,386.83
03-04-2025,139.31,135.26,147.19,144.13,319.67,389.35,349.4,366.35,94.84,147.67,112.85,114.96,373.85,379.99,368.05,386.02
04-04-2025,138.99,134.38,147.03,143.68,315.57,389.35,347.23,365.28,94.05,148.25,112.74,114.97,371.39,378.61,366.66,385.4
07-04-2025,138.72,133.5,146.91,143.28,311.84,389.35,344.9,364.25,93.34,148.63,112.65,114.97,369.3,377.45,365.48,384.93
08-04-2025,138.48,132.61,146.81,142.92,308.41,389.35,342.3,363.24,92.68,148.89,112.57,114.98,367.44,376.46,364.45,384.58
09-04-2025,138.28,131.69,146.72,142.59,305.05,389.35,339.35,362.25,92.06,149.06,112.49,114.99,365.77,375.61,363.54,384.31
10-04-2025,138.1,130.73,146.66,142.29,301.74,389.34,335.97,361.28,91.46,149.17,112.43,114.99,364.26,374.88,362.72,384.1
11-04-2025,137.94,129.71,146.61,142.02,298.39,389.34,332.03,360.3,90.88,149.24,112.37,115.0,362.88,374.25,361.98,383.95
14-04-2025,137.8,128.61,146.56,141.77,294.78,389.34,328.26,359.32,90.3,149.29,112.32,115.0,361.62,373.7,361.3,383.83
15-04-2025,137.68,127.48,146.53,141.54,291.14,389.34,325.31,358.34,89.74,149.32,112.28,115.0,360.43,373.22,360.69,383.73
16-04-2025,137.56,126.3,146.5,141.33,287.57,389.34,322.88,357.34,89.19,149.35,112.24,115.0,359.3,372.79,360.12,383.66
